ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
16jDDDh3e613zprm9risAg,gary twinn,2,71,,-1,-1,0,0,126.0
2MaqyTrc7HzuYvLnvfhxIN,mariene de castro,53,107503,"samba, umbanda",2005,2023,20,1,1414595.0
6j5USTsD0qPR64nNEnJwIH,aldo tagliapietra,3,580,italian progressive rock,2011,2017,5,10,328.0
1PlWf6idMAz65Luiq6aOY9,stela cole,53,168638,alt z,2019,2024,20,2,1009691.0
5KIhOMVG5hdLOd0Y7xgI5U,ragga fränkie,0,1,,-1,-1,0,0,0.0
4Hv8naKkLxWrfxkRMPz5bM,péter nagy,49,1556,"classical piano, hungarian classical piano",1988,2019,20,12,897636.0
76laeNNde1tyiBIjQtoib3,balbino,17,593,,1981,2020,9,1,11484.0
0IJyfbQ2fYZoAnuGmdamHw,nancy zhou,3,114,,-1,-1,0,0,529.0
4fggGGNAmg5LXaMIUD50Fg,frank hammerschmidt,16,29,,-1,-1,0,0,0.0
5LMUqcBh1sXY6vbkzeOY6O,mercy rule,0,211,alternative pop,1993,1998,3,10,83.0
4VWYsx7VsRf0Ir5UUT6pMk,camila sapin,12,971,rock uruguayo,1999,2023,19,1,1577.0
2own8bCvEVLKkehHW6MMFB,allen hightower,3,18,,2013,2021,3,17,132.0
17RBvdVFezGtENyfPFtwFX,nordic nomadic,0,261,,2011,2011,1,9,62.0
19sDYGUDigOETSfWRCUKEC,american sex machine,0,35,,2006,2006,1,10,23.0
6MVCQhFyiTiRqhxwSj7Gah,video game orchestra,15,3439,,2014,2022,5,6,6058.0
2fGhLvTmzpXjCaCuH2Efn1,electronic boutique,0,10,,-1,-1,0,0,59.0
5cT7Hniot27nFmn2Y2zUF4,banks soundtech steel orchestra,4,214,,1998,1998,3,13,693.0
3TjjeGF0z1ZmQreGlaHhGd,speaking in tongues,6,873,,2015,2023,13,4,1729.0
3YvVLuWVse0AnwgcoeHz2g,池澤春菜,0,45,,-1,-1,0,0,67.0
4lK1hFIIF1j2e0Ytmquk2M,dick lundberg,2,454,,2016,2024,20,1,161.0
1PlGa34UdYAR7USVHjywUl,merja laaksonen,0,76,,2006,2021,4,1,63.0
0FSuo59OpaJZKLwp3lgt4D,trailer choir,23,12211,redneck,2008,2018,7,6,29585.0
0XHYO37yb2tzqONGfloI6y,wave kid,8,389,,2018,2023,17,2,337.0
0sTKzchwhD0qdvPy7ivoon,human vivisection,5,5849,"belgian death metal, slam death metal",2016,2020,2,11,1006.0
6ahZTaoJs2D0gcscsEx64r,sarah shook & the disarmers,35,36443,"alternative country, deathgrass, new americana, north carolina roots, queer country, roots americana",2017,2024,15,1,81071.0
4vDUtKhAT2IGmRobxkovbF,billie hawkins,0,28,,2022,2022,2,1,151.0
62uTRQucEK3509oKp4V70x,bonesteel,0,3,,2021,2023,3,1,3.0
2KQ9MJSLgV87xYwR485y4k,s. american agriculture,0,34,,-1,-1,0,0,16.0
68etl27NtWBZnyKKtzeLl7,jack the radio,6,801,north carolina roots,2011,2023,16,1,1643.0
1vS1ZN2wrTyVdWHDgoZLVE,yuzion,29,20293,korean trap,2019,2024,10,1,17109.0
0dHP3bXUPAu9qz7kG3Cs6Z,a raincoat,6,472,,1975,1975,1,13,2082.0
5U41ejOeqbkcvUzxYpsn4C,geoffrey coffin,0,0,,1975,1975,1,9,7.0
0RU0lqyex3O6bN2GpPEtZQ,triumpher,9,1685,nwothm,2023,2023,1,10,1067.0
5Zo3P71uVMlMjDIcDzKdda,dan warby,0,110,,2011,2013,6,5,41.0
38qkuiBvkLLkB6tfjvxadE,small talk,3,982,,2016,2018,6,5,782.0
2WMHtWG8cTJqtaH75Q5yKE,provocación al incendio,1,252,,2019,2019,1,12,89.0
1CdZCC1frNAQhGgSzWu240,saunder jurriaans,17,2196,soundtrack,2012,2023,17,3,9661.0
6NrcqReBkSbnYrv9t4y8HJ,laszlo borteri,2,27,,2000,2000,2,32,265.0
6pu1Z6CW6sgJWfxFFL1FAf,angela engelmann,0,39,,2020,2023,16,1,17.0
1hDjntxX0F9RJFcmx2R5yZ,boris perrenoud,15,3,,1994,2024,3,11,1404.0
24SHVNrCbyz312qb1i9kCY,wearing scars,22,7854,gymcore,2014,2015,2,1,15997.0
5IWrH0sFFzkAqhEEJAxeyI,anal pus,0,1,,-1,-1,0,0,0.0
5PCHHg5ZvtkZlYJNNUU9Q1,platon andritsakis,12,910,world chill,1999,1999,1,12,4611.0
3lipfW5CTwLXLfTSjVuI9u,orchester helmuth brandenburg,0,24,,-1,-1,0,0,107.0
39AZGaAaurzUuINHep3KIF,skribbal,18,1377,,2017,2023,19,1,1442.0
0ucTAETujkdbQzrYXSMGly,orquesta la palabra,38,10085,"salsa international, salsa urbana",1985,2023,13,1,225721.0
0X0o5wsXqn6uunus02kGvF,el santo,19,3063,spanish hip hop,2013,2024,8,3,5100.0
12pH48xLLnDolkCciIVtjQ,crackfight,0,15,,-1,-1,0,0,9.0
030q9tYMZs82CHR8DV9Fid,espacio dios,26,3701,"south african hip hop, south african r&b",2018,2024,20,1,42471.0
2rBdOonMiWruBL5N3J2uay,trevor baldwin,0,14,,2021,2021,1,10,1.0
4uRCtmL8LvPLql8kXbYkOG,jimmy jordan,0,26,,-1,-1,0,0,90.0
6KVnMm856M8CHHBCw53Ihh,natalie grant,51,484366,"ccm, christian alternative rock, christian music",1999,2023,20,1,873920.0
23lQl1OGxBODfMIsUupOr3,pietro riparbelli,0,29,,2015,2015,1,6,2.0
32H3rRu7qiHqfgzAbXXolC,silas neptune,1,834,,2017,2018,2,1,167.0
0dGzAgNsJKrdHN3Fir9BCe,little ann,25,6190,"deep northern soul, traditional soul",2016,2020,3,2,36175.0
6EfOhqo1eJ8sXexj9jzRaq,xservitudex,8,4259,"h8000, metallic hardcore, vegan straight edge",2018,2019,2,5,1498.0
5HintvHxi0uDBgNaRKWZOt,str4ta,27,15150,"acid jazz, broken beat, indie jazz, uk contemporary jazz",2020,2023,19,2,44017.0
3lJ6I1YSC1oepibCMgA5z8,donald armstrong,27,28,,1995,2006,6,16,98.0
0y9QCkzo0eL7zjEvkmauhP,actus,0,203,"martial industrial, neoclassical darkwave",2010,2011,2,11,60.0
379GoCiDzsNz4k0B5GN5u8,alien autopsy,0,17,,2015,2015,1,1,1.0
5dp8XxmSh8TH6uEtrK2P5Q,the howling tongues,2,915,,2012,2018,6,6,288.0
63tfLIQqFoZelKfhBerEUK,max gilkes,4,39,,-1,-1,0,0,795.0
5JiluegkjS871mwg9M5zBv,cobold chrysalis,0,38,,2000,2000,1,12,1.0
5HcGgVIoLDs8PbHbsiU3ov,vromb,2,883,power noise,1996,2022,13,3,214.0
2zrfFx3aSmwndzMgxhBl8Y,international musicians seminar soloists,0,10,,-1,-1,0,0,5.0
3lyW79oolCj6PAaLUqnze5,gud,46,31068,"cloud rap, drain, substep",2014,2024,12,4,344807.0
65fllFxsvJGcWbmwlUZSSM,joe kelley,0,63,,2021,2021,1,20,6.0
2Erijx4ZlUTWgmt7Af6FQL,thee spivs,2,448,,2010,2013,7,2,214.0
4afCxtDDUFPYnZMIF2Hi3Z,anne flugstad,0,0,,-1,-1,0,0,0.0
54JR4DRWJwkXEMeTETDwuZ,porter brook,1,534,uk bass,2020,2023,3,5,251.0
1J3ItUjAtNZAG1uKiGOMyK,barry sames,0,0,,-1,-1,0,0,0.0
29MYJS5HQIOZaCCj51ypk3,jimmy lee young,1,104,native american contemporary,2001,2011,4,11,46.0
